Company name,Symbol
HARTMANN BRODRENE DKK20,0ENF
HAWESKO HLDGS ORD NPV,0ENJ
HORNBACH BAUMARKT AG NPV,0ENN
HEXAGON COMPOSITES ASA NOK0.10,0EOF
HOCHTIEF AG NPV,0EPW
IBERPAPEL GESTION SA EUR0.60,0ERM
ICT AUTOMATISERING EUR0.10,0ES0
INDUS-HOLDING AG NPV,0EUH
INNATE PHARMA A EUR0.05,0EVI
INTESA SANPAOLO SPA DI RISP EUR0.52(NON CNV),0EW0
ISRA VISION AG NPV,0EW1
INTERPUMP GROUP EUR0.52,0EWD
INVISION SOFTWARE AG NPV,0EWO
INIT AG NPV,0EWR
JENOPTIK AG NPV,0EX7
JERONIMO MARTINS SGPS EUR1.,0EXG
JUNGHEINRICH NON VTG PRF SHS NPV,0EXP
KBC GROUPE SA NPV,0EYG
KAUFMAN & BROAD EUR0.26,0F07
KONGSBERG GRUPPEN ASA NOK5,0F08
KITRON ASA NOK1,0F0J
KWS SAAT AG NPV,0F1N
LASSILA & TIKAN ORD NPV,0F29
LA DORIA SPA EUR1.22,0F2Q
LINEDATA SERVICES EUR1,0F2S
LEIFHEIT AG NPV,0F2Z
LINGOTES ESPECIALE EUR1,0F3G
KLEPIERRE EUR1.40,0F4I
LOTUS BAKERIES ORD NPV,0F4O
GRUPA LOTOS SA PLN1,0F58
MANUTAN INTERNATIONAL EUR2,0F6I
MAUREL & PROM EUR0.77,0F6L
HERMLE BERTHOLD NON VTG PRF NPV,0F6S
DURO FELGUERA EUR0.5,0F7F
MEDION AG NPV,0F7M
METSO OYJ NPV1.70,0F89
MAISONS FRANCE CONFORT NPV,0F8T
MGI COUTIER EUR8,0F8V
MELEXIS NPV,0FA0
MOTA ENGIL SGPS EUR1,0FB0
MICRO SYSTEMATIONS NPV SER`B`,0FBM
MOBISTAR NPV,0FBS
MTU AERO ENGINES INVEST NPV (REGD),0FC9
MASTERFLEX AG NPV,0FCT
NICOLAS CORREA SA EUR0.8,0FDN
NEMETSCHEK AG ORD NPV,0FDT
NEUROSEARCH DKK20,0FE8
NORDIC SEMICONDUCTOR NOK0.05,0FF9
NOKIAN RENKAA(NOKIAN TYRES) EUR0.2,0FFY
NORWEGIAN AIR SHUTLE ASA NOK0.10,0FGH
NEXUS AG NPV,0FGL
OHB TELEDATA AG NPV,0FH7
OLAV THON EIENDOMSSELSKAP NOK10,0FHP
OPERA SOFTWARE SA NOK0.02,0FI5
ORKLA ASA NOK1.25,0FIN
HELLENIC TELECOM.ORGANIZATION S.A. EUR2.39,0FIZ
OUTOKUMPU OYJ `A`NPV,0FJ8
PATRIZIA IMMOBILIEN AG NPV,0FJC
PIAGGIO & C SPA EUR0.52,0FM1
POLSKI KONCERN NAFTOWY ORLEN SA PLN1.25,0FMN
POWSZECHNA KASA OSZCZED BK POLSKI PLN1,0FMO
PININFARINA SPA EUR1,0FNI
PAYNOVA AB NPV,0FNL
PONSSE NPV,0FNZ
PARIS ORLEANS EUR2,0FPB
PORTUGAL TELECOM SGPS SA EUR0.35(REGD),0FQ8
PUBLICIS GROUPE SA EUR0.40,0FQI
PFEIFFER VACUUM TECHNOLOGY ORD NPV,0FQR
PESCANOVA SA EUR6,0FQS
EUROPA & C PAPELES Y CART DE EUROPA EUR2,0FR0
QUANTEL EUR3,0FRI
RATIONAL AG NPV,0FRJ
RENEWABLE ENERGY CORP AS NOK1,0FS8
RETAIL ESTATES NPV,0FSO
RIBER EUR0.16,0FT3
RISANAMENTO(SOC PEL)DI NAPOLI SPA EUR1.03,0FTQ
ROOD TESTHOUSE ORD EUR0.11,0FTZ
RWE AG(NEU) NON VTG PRF NPV,0FUZ
METALEUROP SA EUR3.81,0FV0
SALMAR ASA NOK0.25,0FWY
SECURIDEV EUR15,0FYM
SIAS EUR0.50,0G0W
SILICON SENSOR INTERNATIONAL AG NPV,0G0X
KOENIG & BAUER AG NPV,0G15
SKJERN BANK DKK20,0G19
SOLUCOM SA NPV,0G1T
SEMPERIT HLDGS AG NPV,0G29
SOFINA NPV,0G2X
SOLSTAD NOK2,0G2Z
SOLAR A/S `B`DKK100,0G33
MOURY CONSTRUCT NPV,0G34
SO PA F SPA EUR0.50,0G3T
SP GROUP AS DKK100,0G3U
SPAREBANKEN MORE NOK100,0G40
STO AG NON VTG PRF NPV,0G5B
SPAREBANKEN VEST NOK100 GRUNNFONDSBEVIS,0G67
KENDRION N.V. EUR2,0G68
SYMRISE AG NPV,0G6T
SYSTEMAT NPV,0G6W
SOFTING AG NPV,0G73
SALZGITTER AG ORD NPV,0G77
STOLBERGER TELECOM AG ORD NPV,0G79
SUDZUCKER AG NPV,0G7B
SINNERSCHRADER AG NPV,0G7C
TELENOR ASA ORD NOK6,0G8C
TREVI FINANZIARIA INDUSTRIALE EUR0.50,0G91
THROMBOGENICS NPV,0G99
TAMBURI INVESTMENT PARTNERS EUR0.52,0G9J
GESTEVISION TELECINCO SA ORD EUR0.5,0G9W
TELECOM ITALIA SPA(NEW) DI RISP EUR0.55,0GA3
TELENET NPV,0GAF
TECHNOPOLIS OYJ NPV,0GB6
TELEKOMUNIKACJA POLSKA PLN3,0GB7
TAKKT AG NPV,0GC8
TECHNOTRANS AG NPV,0GCB
UBM REALITAETENENTWICKLUNG NPV,0GD5
ULRIC DE VARENS NPV,0GDH
UNIQA VERSICHERUNG AG NPV,0GDR
UNIPETROL CZK100,0GDU
UNITED INTERNET AG NPV,0GE4
VISCOM AG NPV,0GED
VAISALA NPV`A`,0GEG
VEIDEKKE NOK0.5,0GF6
VAN DE VELDE ORD NPV,0GFA
WASHTEC AG NPV,0GJK
WUSTENROT & WURTTEMBERGISCHE AG NPV,0GJN
XILAM ANIMATION EUR0.10,0GJS
YIT OYJ NPV,0GKA
LEROY SEAFOOD GROUP NOK1,0GM2
ESI GROUP EUR3,0GM9
VITROLIFE AB NPV,0GN0
KNOW IT ORD NPV,0GNK
REZIDOR HOTEL GROUP AB NPV,0GNM
GUNNEBO AB NPV,0GNX
SWEDISH MATCH AB NPV,0GO4
POLYTEC HOLDING AG EUR1,0GOX
DATATRAK HLDGS EUR0.232937,0GOZ
MEDIVIR SER`B`NPV,0GP7
CLAS OHLSON AB SER `B` NPV,0GQE
AGTA RECORD CHF1,0GR1
KUNGSLEDEN NPV,0GRG
MILLICOM INTERNATIONAL CELLULAR BDR EACH REP 1 USD1.50 MILLICOM INTL,0GRK
BIOTAGE AB NPV,0GRP
HEXAGON AB SER`B`NPV,0GRX
RAYSEARCH LABORATORIES AB SER`B`NPV,0GRZ
CASTELLUM AB SEK0.50,0GT1
PROACT IT GROUP NPV,0GT3
METABOLIC EXPLORER EUR10,0GT7
CRCAM BRIE PICARDIE (2EME DU NOM) EUR5,0GTI
DIOS FASTIGHETER AB NPV,0GTM
BIOGAIA AG SER`B`NPV,0GTN
KAPSCH TRAFFICCOM AG NPV,0GTO
HUSQVARNA SER`B`NPV,0GTR
CTT SYSTEMS NPV,0GUO
AARHUSKARLSHAMN AB NPV,0GUV
SKANDINAVISKA ENSKILDA BANKEN SER`C`NPV,0GUX
CATENA AB NPV,0GVS
NOBIA AB NPV,0GW0
HUFVUDSTADEN AB SER`A`NPV,0GW3
GRIEG SEAFOOD NOK1,0GW8
LUNDBERGFORETAGEN AB SER`B`NPV,0GWB
AXIS AB ORD NPV,0GWC
WIHLBORG FASTIGHETER AB(PUBL) NPV,0GWG
HUSQVARNA SEK100 SER`A`,0GWI
SAAB AB SER`B`NPV,0GWL
BILLERUD AB NPV,0GWS
NEDERMAN HOLDING AB NPV,0GXG
MODERN TIMES GROUP(MTG) SER`B`NPV,0GXJ
AEFFE SPA EUR0.25,0GY8
ACKERMANS NPV(POST SPLIT),0GYM
VARTA AG NPV,0GYQ
PROBI AB NPV,0GZB
IBA(ION BEAM APPLICATIONS) NPV(POST SPLIT),0GZK
GETINGE AB SER`B`NPV,0GZV
DIASORIN S.P.A. EUR1,0GZX
BANCO DE SABADELL SA EUR0.125,0H00
SWECO AB SER`B`NPV,0H0G
SENSYS TRAFFIC AB NPV,0H0U
INDUSTRIVARDEN AB SER`A`NPV,0H13
OREXO AB NPV,0H19
FASTIGHETS BALDER AB NPV,0H2Z
INDUTRADE AB NPV,0H30
SKISTAR AB SER`B`NPV,0H34
PRICER AB SER`B`NPV,0H38
DEUTSCHE POST AG NPV(REGD),0H3Q
DEUTSCHE BOERSE AG NPV,0H3T
LINDE AG NPV,0H3X
DEUTSCHE LUFTHANSA AG NPV,0H4A
GAMESA CORPORACION TECNOLOGICA SA ORD EUR0.17,0H4N
ACCOR EUR3,0H59
JUVENTUS FOOTBALL CLUB SPA EUR0.10,0H65
ENI EUR1,0H6G
TELECOM ITALIA SPA(NEW) EUR0.55,0H6I
SWEDBANK AB SER`A`NPV,0H6T
TELIASONERA AB NPV,0H6X
FORTUM OYJ EUR3.40,0H72
WINCOR NIXDORF NPV,0H7B
DEUTSCHE BANK AG ORD NPV(REGD),0H7D
LANXESS AG NPV,0H7I
BANKINTER SA EUR0.30(REGD),0H7O
LOCINDUS EUR5.75,0H8X
INTRUM JUSTITIA AB NPV,0H9P
FRESENIUS MEDICAL CARE AG & CO.KGAA NPV,0H9X
RWE AG(NEU) NPV`A`,0HA0
MUNCHENER RUCKVERSICHERUNGS AG NPV(REGD),0HA3
VESTAS WIND SYSTEMS DKK1,0HA4
ABERTIS INFRAESTRUCTURAS EUR3,0HA5
CORPORACION FINANCIERA ALBA EUR1,0HA8
INDRA SISTEMAS S.A EUR0.20'A',0HA9
FOMENTO DE CONSTRUCCIONES Y CONTRA EUR1,0HAA
ACS ACTIVIDADES DE CONSTRUCCION Y ORD EUR0.5,0HAC
NOKIA CORP NPV0.06,0HAF
SAMPO SER'A'NPV,0HAG
FORTUM OYJ EUR3.40,0HAH
CREDIT AGRICOLE EUR3,0HAI
CARREFOUR EUR2.5,0HAL
BOUYGUES EUR1,0HAN
SUEZ EUR2,0HAO
SANOFI-AVENTIS EUR2,0HAQ
AXA EUR2.29,0HAR
PERNOD-RICARD NPV,0HAT
LVMH MOET-HENNESSY LOUIS VUITTON EUR0.30,0HAU
SODEXHO ALLIANCE EUR4,0HAV
CAP GEMINI EUR8,0HAZ
CANAL PLUS EUR0.75,0HB0
CASINO GUICHARD-PERRACHON EUR1.53,0HB1
LAGARDERE GROUP S.C.A. EUR6.10(REGD),0HB2
VALEO EUR3,0HB3
DASSAULT SYSTEMES SA EUR1,0HB4
BNP PARIBAS EUR2,0HB5
ALSTOM EUR14,0HB9
EDF EUR0.50,0HBA
ARKEMA EUR10,0HBB
INTESA SANPAOLO SPA EUR0.52,0HBC
MEDIOBANCA SPA EUR0.50,0HBF
RCS MEDIAGROUP EUR1,0HBH
GRUPPO EDITORIALE L'ESPRESSO EUR0.15,0HBO
HENNES & MAURITZ AB NPV 'B',0HBP
SKF AB SER`B`NPV,0HBQ
SKANSKA AB SER'B'NPV,0HBT
SKANDINAVISKA ENSKILDA BANKEN SER'A'NPV,0HBY
SANDVIK AB NPV,0HC0
ROULARTA MEDIA GROUP NV NPV,0HC8
NOBEL BIOCARE AG CHF2,0HCR
VIVENDI EUR5.5,0HCT
WERELDHAVE BELGIUM NPV,0HCU
KBC ANCORA CVA NPV,0HCV
MEKONOMEN AB NPV,0HDJ
D/S NORDEN DKK1,0HDP
SYNERGIE EUR5,0HDQ
BOUVET ASA NOK1,0HDU
GOLAR LNG COM STK USD1.00,0HDY
EPICEPT CORP COM STK USD0.0001,0HE2
NYSE EURONEXT INC COM STK USD0.01,0HE6
C.M.B.(COMPANY MARITIME BELGE) NPV (POST-SPLIT),0HEQ
COMPLETEL NV EUR0.02,0HET
EAST CAPITAL EXPLORER AB NPV,0HEZ
GREENTECH ENERGY SYSTEMS DKK5,0HFD
HAMBURGER HAFEN UND LOGISTIK AG NPV (REGD),0HFJ
JAZZTEL EUR0.08,0HFR
PORSCHE AG NON VTG PRF NPV,0HGC
STAR REEFERS INC COM STK USD0.01,0HGQ
TOWER GROUP A/S DKK10,0HGZ
TRIGLAV NALOZBE NPV,0HH0
SURTECO SE NPV,0HHI
SAF MAGELAN AD BGN1,0HHT
SIRAGA EUR3.75,0HHU
DET NORSKE OLJESELSKAP ASA (NEW) NOK0.20,0HHY
IBERDROLA SA EUR0.75,0HIT
BOLSAS Y MERCADOS ESPANOLES EUR3.23,0HIY
VILMORIN ET CIE EUR15.25,0HJC
ABB LTD CHF2.50(REGD),0HJF
S.E.S.SA FIDUCIARY DR EACH REP 1`A`SHS NPV,0HJI
ICADE EMGP NPV,0HJL
COMPAGNIE FINANCIERE RICHEMONT SA `A`CHF1(BR)EQUITY UNIT,0HK4
HEAD NV EUR0.01,0HK8
NOVARTIS AG CHF0.50(REGD),0HKE
SWISSCOM AG CHF1(REGD),0HKH
THEOLIA EUR1,0HKT
TRDNJAVA HLDG DD NPV,0HL5
WALLENSTAM SER`B`NPV,0HL8
FAIR VALUE REIT-AG NPV,0HLE
TAG TEGERNSEE IMMO AG NPV,0HLQ
EURONEXT AMSTERDAM EUR6,0HLU
VGP NV EUR0.014,0HM0
DOF ASA NOK2,0HMM
GRUPPO COIN SPA. EUR0.10,0HMZ
ROYAL CARIBBEAN CRUISES COM STK USD0.01,0HN1
S.E.S.SA FIDUCIARY DR EACH REP 1`A`SHS NPV,0HN3
THOMPSON CLIVE INVESTMENTS ORD GBP0.01,0HN9
GAM DIVERSITY INC COM SHS NPV USD,0HNF
BOUSSARD & GAVAUDAN HOLDING EUR0.0001,0HNH
ABLYNX N.V. NPV,0HNK
BRD KLEE SER`B`DKK100,0HNN
ARSEUS NV NPV,0HNZ
ARCHER-DANIELS-MIDLAND CO COM STK NPV,0HOB
COFINIMMO ORD NPV,0HOH
COMPUGROUP HOLDING AG NPV,0HOJ
INGENICO EUR1,0HOU
INTRACOM HLDGS SA EUR1.41,0HOV
KONGSBERG AUTOMOTIVE ASA NOK0.50,0HOY
ALCOA INC COM STK USD1,0HQN
