Company name,Symbol
ARCHER EXPLORATION LIMITED,AXE
ARDEA RESOURCES LIMITED,ARL
ARDENT LEISURE GROUP,AAD
ARDIDEN LTD,ADV
ARENA REIT.,ARF
ARGENT MINERALS LIMITED,ARD
ARGO EXPLORATION LIMITED,AXT
ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,ALI
ARGO INVESTMENTS LIMITED,ARG
ARGONAUT RESOURCES NL,ARE
ARGOSY MINERALS LIMITED,AGY
ARIADNE AUSTRALIA LIMITED,ARA
ARISTOCRAT LEISURE LIMITED,ALL
ARK MINES LIMITED,AHK
ARMOUR ENERGY LIMITED,AJQ
AROWANA INTERNATIONAL LIMITED,AWN
ARROW MINERALS LTD,AMD
ARROWHEAD RESOURCES LIMITED,AR1
ARTEMIS RESOURCES LIMITED,ARV
ARUMA RESOURCES LIMITED,AAJ
ASALEO CARE LIMITED,AHY
ASAPLUS RESOURCES LIMITED,AJY
ASF GROUP LIMITED,AFA
ASHLEY SERVICES GROUP LIMITED,ASH
ASIA PACIFIC DATA CENTRE GROUP,AJD
ASIA PACIFIC DIGITAL LIMITED,DIG
ASIAN AMERICAN MEDICAL GROUP LIMITED,AJJ
ASIAN DEVELOPMENT BANK,ATB
ASIAN MASTERS FUND LIMITED,AUF
ASIAN MINERAL RESOURCES LIMITED,AM3
ASK FUNDING LIMITED,AKF
ASPEN GROUP,APZ
ASPERMONT LIMITED.,ASP
ASPIRE MINING LIMITED,AKM
ASSEMBLEBAY LIMITED,ASY
ASSETOWL LIMITED,AO1
ASTIVITA LIMITED,AIR
ASTRO RESOURCES NL,ARO
ASTRON CORPORATION LIMITED,ATR
ASX LIMITED,ASX
ATC ALLOYS LTD,ATA
ATCOR MEDICAL HOLDINGS LIMITED,ACG
ATHENA RESOURCES LIMITED,AHN
ATLAS IRON LIMITED,AGO
ATLAS PEARLS LTD,ATP
ATRUM COAL LIMITED,ATU
AUB GROUP LIMITED,AUB
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA
AUCTUS ALTERNATIVE INVESTMENTS LIMITED,AVC
AUDALIA RESOURCES LIMITED,ACP
AUDINATE GROUP LIMITED,AD8
AUDIO PIXELS HOLDINGS LIMITED,AKP
AUKING MINING LIMITED,AKN
AUMAKE INTERNATIONAL LIMITED,AU8
AURA ENERGY LIMITED,AEE
AURELIA METALS LIMITED,AMI
AURIS MINERALS LIMITED,AUR
AURIZON HOLDINGS LIMITED,AZJ
AUROCH MINERALS LTD,AOU
AURORA ABSOLUTE RETURN FUND,ABW
AURORA GLOBAL INCOME TRUST,AIB
AURORA LABS LIMITED,A3D
AURORA MINERALS LIMITED,ARM
AURORA PROPERTY BUY-WRITE INCOME TRUST,AUP
