BUREAU VERITAS,BVI
BUREAU VERITASNV18,BVINV
BURELLE,BUR
BUSINESS ET DECIS.,BND
CA TOULOUSE 31 CCI,CAT31
CAFOM,CAFO
CAIRE,MLAAE
CAMBODGE NOM.,CBDG
CAMPINE,CAMB
CANDELA INVEST,CAND
CAPELLI,CAPLI
CAPGEMINI,CAP
CARBIOS,ALCRB
CARBIOS BS,CRBBS
CARE PROPERTY INV.,CPINV
CARMAT,ALCAR
CARMILA,CARM
CARPINIENNE PART.,CARP
CARREFOUR,CA
CASINO GUICHARD,CO
CAST,CAS
CATANA GROUP,CATG
CATERING INTL SCES,CTRG
CATERPILLAR INC,CATR
CBO TERRITORIA,CBOT
CECURITY.COM,MLCEC
CEGEDIM,CGM
CEGEREAL,CGR
CELLECTIS,ALCLS
CELLNOVO,CLNV
CELYAD,CYAD
CENERGY,CENER
CERENIS,CEREN
CERINNOV GROUP,ALPCV
CESAR,ALCES
CFE,CFEB
CFI,CFI
CFM INDOSUEZWEALTH,MLCFM
CGG,CGG
CGG BSA 1,CGGBS
CGG BSA 2,CGGBT
CGG NV18,CGGNV
CH.FER DEPARTEMENT,MLCFD
CH.FER VAR GARD N.,MLCVG
CHARGEURS,CRI
CHARGEURS NV,CRINV
CHAUF.URB.,CHAU
CHAUSSERIA,CHSR
CHEOPS TECHNOLOGY,MLCHE
CHEVRON,CHTEX
CHINA FOREST,MLCFI
CHINA SUPER POWER,MLCSP
CHRISTIAN DIOR,CDI
CHRISTIAN POTIER,MLCHP
CIBOX INTER A CTIV,CIB
CIE BOIS SAUVAGE,COMB
CIE DU MONT BLANC,MLCMB
CIOA,MLCIO
CIPAN,CPN
CISCO SYSTEM INC,CIS
CJS PLV,MLCJS
CLARANOVA,CLA
CLASQUIN,ALCLA
CNIM CONSTR.FRF 10,COM
CNOVA,CNV
CNP ASSURANCES,CNP
CO.BR.HA,COBH
COCA-COLA EUROPEAN,CCE
COFACE,COFA
COFIDUR,ALCOF
"COFINA,SGPS",CFN
COFINIMMO,COFB
COFINIMMO PRIV1,COFP1
COFINIMMO PRIV2,COFP2
COGIFRANCE,MLCOI
COGRA,ALCOG
COGRA 48 BSAR,COGBS
COHERIS,COH
COIL,ALCOI
COLAS,RE
COLIPAYS,MLCLP
COLRUYT,COLR
COMPTA,COMAE
CONDOR TECHNOLOG,MLMFI
CONDURIL,CDU
CONNECT GROUP,CONN
CONSORT NT,MLCNT
COPAM,CPA
CORBION,CRBN
CORE LABORATORIES,CLB
COREP LIGHTING,MLCOR
CORTICEIRA AMORIM,COR
COURBET,MLCOU
COURBET AM.,CRBT
COURTOIS,COUR
CRCAM ALP.PROV.CCI,CRAP
CRCAM ATL.VEND.CCI,CRAV
CRCAM BRIE PIC2CCI,CRBP2
CRCAM ILLE-VIL.CCI,CIV
CRCAM LANGUED CCI,CRLA
CRCAM LOIRE HTE L.,CRLO
CRCAM MORBIHAN CCI,CMO
CRCAM NORD CCI,CNF
CRCAM NORM.SEINE,CCN
CRCAM PARIS ET IDF,CAF
CRCAM SUD R.A.CCI,CRSU
CRCAM TOURAINE CCI,CRTO
CREDIT AGRICOLE,ACA
CROSSJECT,ALCJ
CROSSJECT BSA,ALCBS
CROSSWOOD,CROS
CS (COMM.SYSTEMES),SX
CTA HOLDING,MLCTA
CTAC,CTAC
CTT CORREIOS PORT,CTT
CURETIS,CURE
CYBERGUN,ALCYB
D''IETEREN,DIE
D.L.S.I.,ALDLS
D2L GROUP,MLGEL
DALET,DLT
DAMARIS,MLDAM
DAMARTEX,ALDAR
DANONE,BN
DASSAULT AVIATION,AM
DASSAULT SYS NV18,DSYNV
DASSAULT SYSTEMES,DSY
DATBIM,MLDTB
DBT,ALDBT
DBV TECHNOLOGIES,DBV
DEBFLEX,MLDEX
DECEUNINCK,DECB
DEINOVE,ALDEI
DELFINGEN,ALDEL
DELTA DRONE,ALDR
DELTA DRONE BSA,ALDBS
DELTA PLUS GROUP,DLTA
DERICHEBOURG,DBG
DESIGN YOUR HOME,MLDYH
DEUTSCHE TELEKOM,DTEL
DEVERNOIS,ALDEV
DEVOTEAM,DVT
DEXIA,DEXB
DGB GROUP N.V.,DGB
DIAGEO,DGE
DIAGNOSTIC MEDICAL,DGM
DIAXONHIT,ALEHT
DIEGEM KENNEDYCERT,DIEG
DIETSWELL,ALDIE
DIGIGRAM,DIG
DIGITECH,MLDIG
DIRECT ENERGIE,DIREN
DISTRI-LAND CERT,DISL
DNXCORP,DNX
DOCK.PETR.AMBES AM,DPAM
DOLPHIN INTEGRAT.,ALDOL
DOM SECURITY,DOMS
DPA GROUP,DPA
DRDGOLD,MLDUR
DRONE VOLT,ALDRV
DRONE VOLT BS,DRVBS
DSM KON,DSM
DUTCH STAR C SHAR,DSC1
DUTCH STAR C WAR,DSC1W
DWC 3.0,MLDWC
DYNAFOND,MLDYN
DYNEX ENERGY SA,MLDYX
E.ON SE,EON
EASE2PAY NV,EAS2P
EASSON HOLDING,MLEAS
EASYVISTA,ALEZV
EAUX DE DOUAI,MLEAU
EAUX DE ROYAN,MLEDR
EAVS,MLEAV
ECA,ECASA
ECKERT-ZIEGLER BG,EZBG
ECOLUTIONS,MLECO
ECONOCOM GROUP,ECONB
ECOSLOPS,ALESA
EDENRED,EDEN
EDENRED NV18,EDENV
EDF,EDF
EDITIONS DU SIGNE,MLEDS
EDP,EDP
EDP RENOVAVEIS,EDPR
EDUNIVERSAL,MLEDU
EES,MLEES
EGIDE,GID
EIFFAGE,FGR
EKINOPS,EKI
ELEC.STRASBOURG,ELEC
ELECTRO POWER,EPS
ELIA,ELI
ELIOR GROUP,ELIOR
ELIS,ELIS
EMAKINA GROUP,ALEMK
EMD MUSIC,EMD
EMOVA BS,ALEBS
EMOVA GROUP,ALEMV
ENCRES DUBUIT,ALDUB
ENERTIME,ALENE
ENGIE,ENGI
ENI,ENI
ENTREPARTICULIERS,ALENT
ENTREPRENDRE,ALENR
ENVIPCO,ENVI
ENVIRONNEMENT SA,ALTEV
EO2,ALEO2
EOS IMAGING,EOSI
ERAMET,ERA
ERYTECH PHARMA,ERYP
ESI GROUP,ESI
ESKER,ALESK
ESPERITE,ESP
ESSILOR INTER NV18,EINV
ESSILOR INTL.,EI
ESSO,ES
EST REPUBLICAIN,MLEST
ESTORIL SOL N,ESON
EULER HERMES GROUP,ELE
EURASIA FONC INV,EFI
EURASIA GROUPE,ALEUA
EURAZEO,RF
EURO RESSOURCES,EUR
EUROCASTLE INVEST.,ECT
EUROCOMMERCIAL,ECMPA
EUROFINS CEREP,ALECR
EUROFINS NV18,ERFNV
EUROFINS SCIENT.,ERF
EUROGERM,ALGEM
EUROLAND CORPORATE,MLERO
EUROMEDIS GROUPE,EMG
EURONAV,EURN
EURONEXT,ENX
EURONEXT,ENXP
EUROPACORP,ECP
EUROPCAR,EUCAR
EUROPLASMA,ALEUP
EUROPLASMA BSB,EURBT
EUROPLASMA BSC,EURBU
EUROPUBLIDIS,ALPBS
EUTELSAT COMMUNIC.,ETL
EVADIX,ALEVA
EVERSET,MLEVE
EVOLIS,ALTVO
EVS BROADC.EQUIPM.,EVS
EXACOMPTA CLAIREF.,EXAC
EXEL INDUSTRIES,EXE
EXMAR,EXM
EXPLOS.PROD.CHI.PF,EPCP
EXPLOSIFS PROD.CHI,EXPL
F.RAMA,RAM
FAGRON,FAGR
FASHION B AIR,ALFBA
FAURECIA,EO
FAUVET GIREL,FAUV
FAYENC.SARREGUEMI.,FAYE
FD,MLFDV
FENALU,FEN
FERM.CAS.MUN.CANNE,FCMC
FERMENTALG,FALG
FFP,FFP
FIDUCIAL OFF.SOL.,SACI
FIDUCIAL REAL EST.,ORIA
FIGEAC AERO,FGA
FILAE,ALFIL
FIN.ETANG BERRE,BERR
FIN.ETANG BERRE PF,EBPF
FIN.OUEST AFRICAIN,FOAF
FINANCIER CROI INV,MLFCI
FINANCIERE MARJOS,FINM
FINANCIERE ODET,ODET
FINANCIERE SICOMAX,MLSIC
FINATIS,FNTS
FINAXO,MLFXO
FIPP,FIPP
FIRSTCAUTION,MLFIR
FLEURY MICHON,FLE
FLEURYMBSAR22MAR20,FLEBS
FLEXOS,FLEX
FLORIDIENNE,FLOB
FLOW TRADERS,FLOW
FLUXYS BELGIUM D,FLUX
FNAC DARTY,FNAC
FNG N.V.,FNG
FOCUS HOME INT,ALFOC
FONC ATLAND BSA,FATBS
FONC. PARIS NORD,FPN
FONC. VOLTA NV18,SPENV
FONC.DES REGIONS,FDR
FONCIERE 7 INVEST,LEBL
FONCIERE ATLAND,FATL
FONCIERE DES MURS,FMU
FONCIERE EURIS,EURS
FONCIERE INEA,INEA
FONCIERE LYONNAISE,FLY
FONCIERE VINDI,MLVIN
FONCIERE VOLTA,SPEL
FOOT LOCKER,FOOTL
FORESTIERE EQUAT.,FORE
FORFARMERS,FFARM
FOUNTAIN,FOU
FOUNTAINE PAJOT,ALFPC
FRANCAISE ENERGIE,LFDE
FRANCE CHAUFFAGE,MLFRC
FRANCE TOURISME,MLFTI
FREELANCE BS 2018,FREBS
FREELANCE.COM,ALFRE
FREY,FREY
FROMAGERIES BEL,FBEL
FUDAKIN,MLKIN
FUGRO,FUR
FUT.CLUBE PORTO,FCP
FUTUREN,FTRN
G.A.I.,MLGAI
GALAPAGOS,GLPG
GALEO,MLGAL
GALIMMO,GALIM
GALLOO ILE DE FCE,MLGRD
GALP ENERGIA-NOM,GALP
GASCOGNE,ALBI
GAUMONT,GAM
GAUMONT NV18,GAMNV
GAUSSIN,ALGAU
GAUSSIN BSA,GAUBT
GAUSSIN BSAR,GAUBS
GBL,GBLB
GDS (144A) RUSAL,RUAL
GDS (S) RUSAL,RUSAL
GDS MOULINS STRAS.,GDMS
GEA GRENOBL.ELECT.,GEA
GECI INTL,GECP
GECI INTL BSAR A,GECBT
GECINA NOM.,GFC
GEMALTO,GTO
GENERAL ELECTRIC,GNE
GENERIX GROUP FCE,GENX
GENEURO,GNRO
GENFIT,GNFT
GENK LOGIST. CERT,GENK
GENKYOTEX,GKTX
GENOMIC VISION,GV
GENOWAY,ALGEN
GENSIGHT BIOLOGICS,SIGHT
GENTLEMENS EQUITY,MLGEQ
GEVELOT,ALGEV
GFI INFORMATIQUE,GFI
GIMV,GIMB
GL EVENTS,GLO
GLINTT,GLINT
GLOBAL BIOENERGIES,ALGBE
GLOBAL ECOPOWER,ALGEP
GLOBAL GRAPHICS,GLOG
GLOBAL HEALTH GR.,MLIFE
GOLD BY GOLD,ALGLD
GOUR MEDICAL,MLGML
GPE GROUP PIZZORNO,GPE
GPE PAROT (AUTO),ALPAR
GRAINES VOLTZ,GRVO
GRANDVISION,GVNV
GRECEMAR,MLCMG
GREEN ENERGY GE4S,MLGES
GREENYARD,GREEN
GROOTHANDELSGEBOUW,GROHA
GROUPE CARNIVOR,MLGRC
GROUPE CRIT,CEN
GROUPE EUROTUNNEL,GET
GROUPE FLO,FLO
GROUPE FLO NV18,FLONV
GROUPE GORGE,GOE
GROUPE GUILLIN,ALGIL
GROUPE IRD,IRD
GROUPE JAJ,GJAJ
GROUPE LDLC,LDL
GROUPE OPEN,OPN
GROUPE PARTOUCHE,PARP
GROUPE PLUS-VALUES,MLPVG
GROUPE RIVALIS,MLRIV
GROUPE SFPI,SFPI
GROUPIMO,ALIMO
GROWNERS,GROWN
GT BIOPHARMA INC,GTBP
GTT,GTT
GUERBET,GBT
GUERBET NV18,GBTNV
GUILLEMOT,GUI
GUY DEGRENNE,GUYD
H2O INNOVATION INC,ALHEO
HAL TRUST,HAL
HAMON,HAMO
HARVEST,ALHVS
HAULOTTE GROUP,PIG
HeadFirst Source G,HFS
HEALTH,MLAHC
HEIJMANS,HEIJM
HEINEKEN,HEIA
HEINEKEN HOLDING,HEIO
HERIGE,HERIG
HERMES INTL,RMS
HEURTEY PETROCHEM,ALHPC
HEXCEL,HXL
HF,HF
HIGH CO,HCO
HIOLLE INDUSTRIES,ALHIO
HIPAY GROUP,HIPAY
HITECHPROS,ALHIT
HK,MLHK
HOCHE BAINS L.BAIN,MLHBB
HOLLAND COLOURS,HOLCO
HOLOSFIND,ALHOL
HOME CONCEPT,MLHCF
HOME INVEST BE.,HOMI
HOPENING,MLHPE
HOPSCOTCH GROUPE,HOP
HORIZONTALSOFTWARE,ALHSW
HOT.MAJESTIC CANNE,MLHMC
HOTELIM,MLHOT
HOTELS DE PARIS,HDP
HOTL.IMMOB.NICE,MLHIN
HSBC HOLDINGS,HSB
HUBWOO,HBW
HUNTER DOUGLAS,HDG
HUNTER DOUGLAS,HUNDP
HYBRIGENICS,ALHYG
HYDRATEC,HYDRA
HYDRAULIQUE PB,MLHYD
HYDRO-EXPLOIT.,MLHYE
I.CERAM,ALICR
I2S,ALI2S
IBA,IBAB
"IBERSOL,SGPS",IBS
IBM,IBMA
ICADE,ICAD
ICE CONCEPT,ICE
ICT GROUP,ICT
ID LOGISTICS GROUP,IDL
IDI,IDIP
IDS,MLIDS
IDSUD,ALIDS
IEP INVEST,IEP
IEX GROUP NV,IEX
IFF,IFF
IGE + XAO,IGE
ILIAD,ILD
IMALLIANCE,MLIML
IMCD,IMCD
IMERYS,NK
IMM.PARIS.PERLE,MLIPP
IMMERSION,ALIMR
IMMO MCC,MCC
IMMO MOURY,IMMOU
IMMOB.DASSAULT,IMDA
IMMOB.HOTELIERE,IMHO
IMMOBEL,IMMO
IMMOPOOL,IMMOP
IMOB.C GRAO PARA,GPA
IMPLANET,ALIMP
"IMPRESA,SGPS",IPR
IMPRIMERIE CHIRAT,MLIMP
INAPA-INV.P.GESTAO,INA
INAPA-PREF S/ VOTO,INAP
INDLE FIN.ENTREPR.,INFE
INDUSTRIAL HOLDING,MLFIH
INFOCLIP,MLIFC
INFOSYS LTD ADS,INFY
INFOTEL,INF
ING GROEP N.V.,INGA
INGENICO GROUP,ING
INNATE PHARMA,IPH
INNELEC MULTIMEDIA,INN
INNOVADERMA PLC,MLIDP
INSIDE SECURE,INSD
INSTALLUX,STAL
INTEGRAGEN,ALINT
INTEGRAL,MLITG
INTEL CORP,INCO
INTERPARFUMS,ITP
INTERTRUST,INTER
INTERVEST OFF-WARE,INTO
INTEXA,ITXT
INTLE PLANT.HEVEAS,SIPH
INTRASENSE,ALINS
INVENTIVA,IVA
INVIBES ADVERTSING,MLINV
IOC HOLDING,MLIOC
IPSEN,IPN
IPSEN NV18,IPNNV
IPSOS,IPS
IPSOS NV18,IPSNV
ISA,ALISA
IT LINK,ITL
ITESOFT,ITE
ITS GROUP,ITS
IVALIS,ALIVA
